type,description,date,duration,calories
Sport,Walking,2021-05-07,7560,227
Sport,Yoga,2021-05-07,900,27
Sport,Core Exercise,2021-05-08,252,4
Sport,Walking,2021-05-08,15060,331
Sport,HIIT,2021-05-09,6660,259
Sport,Yoga,2021-05-10,1200,81
Sport,Strength Training,2021-05-10,3840,242
Sport,Strength Training,2021-05-11,2700,180
Sport,Walking,2021-05-11,10560,61
Sport,Strength Training,2021-05-12,1188,90
Sport,HIIT,2021-05-12,6228,208
Sport,HIIT,2021-05-13,7920,201
Sport,Strength Training,2021-05-14,2160,141
Sport,Yoga,2021-05-14,1368,97
Sport,Walking,2021-05-14,720,37
Sport,Household,2021-05-15,5760,156
Sport,Strength Training,2021-05-15,792,45
Sport,HIIT,2021-05-15,1980,139
Sport,Walking,2021-05-16,2340,121
Sport,Strength Training,2021-05-16,4140,170
Sport,Walking,2021-05-17,648,34
Sport,Walking,2021-05-17,7128,339
Sport,HIIT,2021-05-18,1152,134
Sport,Yoga,2021-05-18,7992,162
Sport,Walking,2021-05-19,4968,97
Sport,Strength Training,2021-05-19,1332,21
Sport,Walking,2021-05-19,2448,33
Sport,Household,2021-05-19,1260,81
Sport,Walking,2021-05-20,7380,257
Sport,HIIT,2021-05-21,1872,274
Sport,HIIT,2021-05-22,1368,170
Sport,Yoga,2021-05-22,432,28
Sport,HIIT,2021-05-23,3708,204
Sport,Yoga,2021-05-23,432,27
Sport,Strength Training,2021-05-24,2412,202
Sport,Walking,2021-05-24,6840,414
Sport,Functional Training,2021-05-25,7200,187
Sport,Functional Training,2021-05-26,8640,232
Sport,Functional Training,2021-05-27,4392,101
Sport,HIIT,2021-05-27,2520,184
Sport,HIIT,2021-05-28,2628,294
Sport,Functional Training,2021-05-29,648,42
Sport,Walking,2021-05-29,7452,403
Sport,Walking,2021-05-30,5040,224
Sport,Yoga,2021-05-30,1080,45
Sport,Strength Training,2021-05-31,468,10
Sport,HIIT,2021-05-31,15660,216
Sport,Functional Training,2021-05-31,1080,67
Sport,Strength Training,2021-06-01,3888,222
Sport,Walking,2021-06-02,1512,50
Sport,Walking,2021-06-02,3492,197
Sport,Yoga,2021-06-02,1548,27
Sport,Functional Training,2021-06-02,900,23
Sport,Walking,2021-06-03,10872,95
Sport,Yoga,2021-06-03,4248,128
Sport,Walking,2021-06-04,972,38
Sport,Strength Training,2021-06-06,360,9
port,Walking,2021-06-07,1008,61
Sport,Walking,2021-06-08,4428,203
Sport,Walking,2021-06-09,828,35
Sport,Walking,2021-06-11,1800,65
Sport,Functional Training,2021-06-11,792,51
Sport,Walking,2021-06-12,5940,265
Sport,Walking,2021-06-16,1800,109
Sport,Walking,2021-06-16,4392,100
Sport,Walking,2021-06-17,1152,62
Sport,Walking,2021-06-17,1332,35
Sport,Functional Training,2021-06-18,792,50
Sport,Strength Training,2021-06-22,1512,159
Sport,Strength Training,2021-06-23,2160,123
Sport,Walking,2021-06-26,2412,120
Sport,Walking,2021-06-26,1512,75
Sport,Walking,2021-06-26,2700,95
Sport,Walking,2021-06-27,2520,112
Sport,Walking,2021-06-27,3420,96
Sport,Walking,2021-06-27,1332,27
Sport,Strength Training,2021-07-02,1620,56
Sport,Yoga,2021-07-02,1260,90
Sport,Yoga,2021-07-02,1872,66
Sport,Walking,2021-07-04,1188,59
Sport,Walking,2021-07-04,720,36
Sport,Walking,2021-07-05,3960,244
Sport,Strength Training,2021-07-05,10512,109
Sport,Yoga,2021-07-05,648,38
Sport,Walking,2021-07-06,3240,177
Sport,Strength Training,2021-07-06,1908,96
Sport,Walking,2021-07-07,2592,112
Sport,HIIT,2021-07-07,11052,199
Sport,Strength Training,2021-07-12,1800,90
Sport,Walking,2021-07-12,3132,155
Sport,Walking,2021-07-13,1152,56
Sport,Yoga,2021-07-18,1692,64
Sport,Walking,2021-07-19,1620,80
Sport,Walking,2021-07-20,900,44
Sport,Walking,2021-07-20,792,38
Sport,Walking,2021-07-20,1080,53
Sport,Walking,2021-07-21,4248,212
Sport,Walking,2021-07-22,972,47
Sport,Walking,2021-07-22,3960,197
Sport,Yoga,2021-07-22,612,26
Sport,Walking,2021-07-24,4140,206
Sport,Walking,2021-07-27,3060,152
Sport,Walking,2021-07-28,1908,95
Sport,Walking,2021-07-28,1368,68
Sport,Walking,2021-07-29,4932,245
Sport,Walking,2021-07-29,1260,62
Sport,Walking,2021-08-03,1260,62
Sport,Walking,2021-08-03,1188,59
Sport,Walking,2021-08-04,1440,71
Sport,Walking,2021-08-04,1800,89
Sport,Walking,2021-08-04,1152,56
Sport,Walking,2021-08-05,2772,137
Sport,Walking,2021-08-05,1620,80
Sport,Walking,2021-08-05,1512,74
Sport,Walking,2021-08-06,828,41
Sport,Walking,2021-08-06,972,47
Sport,Walking,2021-08-09,3672,182
Sport,Walking,2021-08-09,1368,68
Sport,Walking,2021-08-10,2592,128
Sport,Walking,2021-08-10,1512,74
Sport,Walking,2021-08-13,2088,104
Sport,Walking,2021-08-15,3600,179
Sport,Walking,2021-08-17,1512,83
Sport,Walking,2021-08-17,2160,111
Sport,Walking,2021-08-20,1260,62
Sport,Walking,2021-08-20,1188,59
Sport,Walking,2021-08-21,972,47
Sport,Walking,2021-08-21,1152,56
Sport,Household,2021-08-22,1188,38
Sport,Walking,2021-08-23,4248,212
Sport,Walking,2021-08-24,2412,119
Sport,Mixed Cardio,2021-08-26,4068,303
Sport,Pilates,2021-08-26,3852,231
Sport,Dancing,2021-08-31,3780,446
Sport,Mixed Cardio,2021-08-31,2808,29
Sport,Walking,2021-09-01,4752,98
Sport,Walking,2021-09-03,7632,365
Sport,Walking,2021-09-05,1152,72
Sport,Dancing,2021-09-07,3960,436
Sport,Mixed Cardio,2021-09-07,2988,298
Sport,Elliptical,2021-09-07,648,66
Sport,Walking,2021-09-12,2628,131

